1	201.52324251702174
2	164.83658290579407
3	156.13986294680186
4	151.1531371325568
5	151.29680846069004
6	147.93668131348088
7	134.44069094076568
8	133.51979250850798
9	130.95990213331675
10	130.7327564486991
11	130.08201179930848
12	127.88152019732001
13	128.87135628077817
14	129.13709670463945
15	125.74462003653052
16	126.73583288583804
17	122.08555515189454
18	123.29638290200914
19	121.61347973440238
20	122.04491043407155
21	121.4599211214439
22	120.9482315460465
23	122.20874766156517
24	120.63394422766407
25	122.85596458218566
26	119.612022476223
27	120.3028957069198
28	119.06115174894461
29	119.17246704992036
30	121.29187083454885
31	118.68297698139217
32	122.66310504879536
33	122.44285882472307
34	119.64038957215938
35	121.47775495283261
36	120.17026093744008
37	120.65489583139355
38	120.52747636708385
39	121.3817762307533
40	119.95944422359702
