Epoch,Dropout 0.0,Dropout 0.2,Dropout 0.4,Dropout 0.6,Dropout 0.8
1,137.99108257200731,149.40574926457612,149.8215191934081,157.6636854724924,201.5232425170217
2,93.57969703656924,102.74309659106652,108.19605363612288,120.30629749304592,164.83658290579407
3,74.82861227066084,87.27173250649518,93.52341404226851,110.46146836675388,156.13986294680186
4,64.23982732158179,76.11695957388199,86.16296246651342,104.69101804334424,151.1531371325568
5,55.94436819507606,68.3484729767195,79.60036214700972,99.36496258649862,151.29680846069004
6,38.3948395648836,63.30068475931313,75.1256814834873,96.02870889238837,147.93668131348088
7,36.37143321370984,58.38340946576021,72.04993970719391,94.52181028654184,134.44069094076568
8,31.02215373198331,54.76420358622559,69.72274730294144,93.55315054791085,133.51979250850798
9,30.57266228427379,39.74888467996366,65.87595408049972,94.1673805547764,130.95990213331677
10,29.044326721973853,39.48515121471644,65.04056537891388,79.78264364285195,130.7327564486991
11,28.61334806176126,38.66167556961816,63.73139787184798,77.4751121215865,130.08201179930848
12,28.648021167173944,35.00542698267561,60.45032894335115,78.27929126831624,127.88152019732
13,28.657708740464752,34.395011327355704,60.60751514188933,77.64872794398913,128.87135628077817
14,28.52988336065477,34.130007995504215,46.28538400433789,76.34648494936172,129.13709670463945
15,28.533734263437218,33.40935051640401,45.45783606036051,73.64004354428266,125.74462003653052
16,28.53609839427242,33.38247329573871,45.97404428199164,72.41826134385911,126.73583288583804
17,28.537193784596973,33.33207677220858,45.47073076498496,71.44647748040562,122.08555515189454
18,28.53721895865769,33.16082752861745,45.04478933599425,72.89894265236629,123.29638290200914
19,28.50395755422813,32.802343903094496,41.75562402292733,72.355461581379,121.61347973440238
20,28.504065608814575,33.08546325727566,41.58606085971541,71.85116553555959,122.04491043407155
21,28.504109782191144,33.069596815214254,41.27508292422705,72.94778420149599,121.4599211214439
22,28.504097549556928,33.13442278433711,40.45007692937945,71.96718565893143,120.9482315460465
23,28.504022115095303,33.19179141956098,41.21562273554527,72.14661726731106,122.20874766156516
24,28.50389231392143,32.89536969719703,41.02095964970662,71.0193195424305,120.63394422766407
25,28.49550542111196,33.10520223707924,40.59210866765258,71.15972553428786,122.85596458218566
26,28.49547756630813,32.66642663987346,39.81429854104766,71.53262687463149,119.612022476223
27,28.495437482613816,32.732158034318125,39.96738762749299,71.33332743353178,120.3028957069198
28,28.49540283404213,32.68726927988792,39.845025171849166,71.89268509880547,119.0611517489446
29,28.49536410921776,33.33063998803792,39.133256721787575,70.71602699601237,119.17246704992036
30,28.495316552487893,32.38541672790603,39.81030620897899,71.98878778624656,121.29187083454885
31,28.49526559893682,32.33179514891495,39.64295901675861,71.56477198546227,118.68297698139216
32,28.495214645476864,32.59675074823716,39.857064179590274,70.47240563966834,122.66310504879536
33,28.495162333352752,32.875283190544856,39.91973500898491,70.72953315738486,122.44285882472307
34,28.493054302602715,32.70878651458105,39.69991659310031,70.57884552345233,119.64038957215938
35,28.492523752880277,33.041880556450074,39.272758319772045,71.84512209542667,121.4777549528326
36,28.49238449370652,33.41969440554912,39.82318068517159,71.0180056061456,120.17026093744008
37,28.492349848847063,32.93660822358063,38.6433542787718,71.72114517558542,120.65489583139356
38,28.49234713160497,33.190631314908096,39.85340677180013,70.8253541982044,120.52747636708384
39,28.49234916953652,32.87632802298595,39.82872780870708,70.97458150388498,121.3817762307533
40,28.492348490225996,32.49149135195091,39.334978361645085,71.46269584850972,119.95944422359702
